SOTA Summits List (Date=23/02/2020)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
3Y/BV-001,Bouvet Island,Bouvetøya (Bouvet Island),Olavtoppen,780,2559,3.3565,-54.4104,3.3565,-54.4104,10,3,01/03/2018,31/12/2099,0,,,
4O/IC-001,Montenegro,Istok Crne Gore,Maja Rosit,2524,8280,19.8505,42.4795,19.8505,42.4795,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-002,Montenegro,Istok Crne Gore,Kom kučki,2487,8159,19.6417,42.6807,19.6417,42.6807,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-003,Montenegro,Istok Crne Gore,Veliki vrh (Maja Gurt e Zjarmit),2480,8136,19.7872,42.4971,19.7872,42.4971,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-004,Montenegro,Istok Crne Gore,Kom vasojevićki,2461,8074,19.6677,42.6879,19.6677,42.6879,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-005,Montenegro,Istok Crne Gore,Crni krš,2426,7959,20.0544,42.6301,20.0544,42.6301,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-006,Montenegro,Istok Crne Gore,Hajla,2403,7883,20.1388,42.7575,20.1388,42.7575,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-007,Montenegro,Istok Crne Gore,Krš Bogićevica,2374,7788,20.0527,42.5723,20.0527,42.5723,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-008,Montenegro,Istok Crne Gore,Žljeb,2365,7759,20.2542,42.7667,20.2542,42.7667,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-009,Montenegro,Istok Crne Gore,Ahmica,2272,7454,20.1856,42.7565,20.1856,42.7565,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-010,Montenegro,Istok Crne Gore,Ujkov krš,2269,7444,20.0506,42.5519,20.0506,42.5519,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-011,Montenegro,Istok Crne Gore,Karanfil Ljuljaševića,2241,7352,19.8024,42.5052,19.8024,42.5052,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-012,Montenegro,Istok Crne Gore,Plana (Bandera),2211,7253,19.8863,42.6101,19.8863,42.6101,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-013,Montenegro,Istok Crne Gore,Maja Horolac,2199,7214,20.0137,42.5466,20.0137,42.5466,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-014,Montenegro,Istok Crne Gore,Velji vrh,2196,7204,19.8356,42.5999,19.8356,42.5999,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-015,Montenegro,Istok Crne Gore,Vrh veliki (Veliki Trojan),2190,7185,19.75,42.5513,19.7500,42.5513,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-016,Montenegro,Istok Crne Gore,Surdup,2184,7165,19.5525,42.575,19.5525,42.5750,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-017,Montenegro,Istok Crne Gore,4O/IC-017,2181,7155,19.7193,42.6593,19.7193,42.6593,10,3,01/03/2019,31/12/2099,0,,,
4O/IC-018,Montenegro,Istok Crne Gore,Maja Bors,2147,7043,19.9061,42.5077,19.9061,42.5077,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-019,Montenegro,Istok Crne Gore,Maglić,2142,7027,19.5909,42.6107,19.5909,42.6107,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-020,Montenegro,Istok Crne Gore,4O/IC-020,2140,7020,19.5163,42.5571,19.5163,42.5571,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-021,Montenegro,Istok Crne Gore,Crna glava,2139,7017,19.6982,42.8666,19.6982,42.8666,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-022,Montenegro,Istok Crne Gore,Goleš,2126,6975,19.8432,42.6475,19.8432,42.6475,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-023,Montenegro,Istok Crne Gore,Tomova glava,2123,6965,19.7439,42.641,19.7439,42.6410,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-024,Montenegro,Istok Crne Gore,Crna glava,2122,6961,19.7079,42.9081,19.7079,42.9081,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-025,Montenegro,Istok Crne Gore,Vaganica,2115,6938,20.0003,42.6892,20.0003,42.6892,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-026,Montenegro,Istok Crne Gore,Drekin vrh,2112,6929,19.819,42.6294,19.8190,42.6294,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-027,Montenegro,Istok Crne Gore,Štrugeze,2104,6902,19.6157,42.5469,19.6157,42.5469,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-028,Montenegro,Istok Crne Gore,Smojan,2080,6824,19.5528,42.5636,19.5528,42.5636,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-029,Montenegro,Istok Crne Gore,Planinica,2077,6814,20.015,42.6824,20.0150,42.6824,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-030,Montenegro,Istok Crne Gore,Pasjak,2050,6725,19.5635,42.5811,19.5635,42.5811,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-031,Montenegro,Istok Crne Gore,Razvršje,2033,6669,19.6253,42.9116,19.6253,42.9116,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-032,Montenegro,Istok Crne Gore,Beškeza,2030,6660,19.5691,42.5544,19.5691,42.5544,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-033,Montenegro,Istok Crne Gore,Krisitor,2024,6640,19.5719,42.5392,19.5719,42.5392,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-034,Montenegro,Istok Crne Gore,Prijedolska glava,2003,6571,19.9357,42.7021,19.9357,42.7021,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-035,Montenegro,Istok Crne Gore,Ogorela glava,1988,6522,19.6238,42.8648,19.6238,42.8648,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-036,Montenegro,Istok Crne Gore,Ključ,1973,6473,19.6299,42.8112,19.6299,42.8112,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-037,Montenegro,Istok Crne Gore,Vrela,1970,6463,19.6065,42.7163,19.6065,42.7163,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-038,Montenegro,Istok Crne Gore,Cmiljevica,1963,6440,20.0293,42.7967,20.0293,42.7967,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-039,Montenegro,Istok Crne Gore,Kurlaj,1957,6420,19.6086,42.6348,19.6086,42.6348,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-040,Montenegro,Istok Crne Gore,Velji vrh,1916,6286,19.5467,42.5932,19.5467,42.5932,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-041,Montenegro,Istok Crne Gore,Jelenak,1887,6190,19.6834,42.8035,19.6834,42.8035,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-042,Montenegro,Istok Crne Gore,Prasica,1882,6174,19.6003,42.5509,19.6003,42.5509,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-043,Montenegro,Istok Crne Gore,Lisa,1878,6161,19.6825,42.7681,19.6825,42.7681,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-044,Montenegro,Istok Crne Gore,Homšur,1873,6145,20.2635,42.7889,20.2635,42.7889,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-045,Montenegro,Istok Crne Gore,Hum orahovski,1873,6145,19.5192,42.4996,19.5192,42.4996,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-046,Montenegro,Istok Crne Gore,Samotorit,1870,6135,19.5482,42.5417,19.5482,42.5417,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-047,Montenegro,Istok Crne Gore,Tureća glava,1850,6069,19.771,42.8187,19.7710,42.8187,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-048,Montenegro,Istok Crne Gore,Vezirova brada,1781,5843,19.812,42.5398,19.8120,42.5398,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-049,Montenegro,Istok Crne Gore,Ostrvica,1768,5800,19.5134,42.7565,19.5134,42.7565,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-050,Montenegro,Istok Crne Gore,Krstača,1758,5767,20.1217,42.9637,20.1217,42.9637,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-051,Montenegro,Istok Crne Gore,Đebeza,1755,5757,19.5497,42.6152,19.5497,42.6152,8,3,01/03/2019,31/12/2099,0,,,
4O/IC-052,Montenegro,Istok Crne Gore,Divljački krš,1728,5669,19.9904,42.7913,19.9904,42.7913,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-053,Montenegro,Istok Crne Gore,Kaženik,1652,5419,19.5016,42.4664,19.5016,42.4664,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-054,Montenegro,Istok Crne Gore,Planinica,1650,5413,19.9327,42.7507,19.9327,42.7507,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-055,Montenegro,Istok Crne Gore,Žilindar,1616,5301,20.0122,43.0425,20.0122,43.0425,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-056,Montenegro,Istok Crne Gore,Teferič,1557,5108,19.8209,42.7434,19.8209,42.7434,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-057,Montenegro,Istok Crne Gore,Čiperek,1548,5078,19.8177,42.713,19.8177,42.7130,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-058,Montenegro,Istok Crne Gore,Bojna glava,1520,4986,19.4757,42.7697,19.4757,42.7697,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-059,Montenegro,Istok Crne Gore,Žoljevica,1510,4954,19.7764,42.7722,19.7764,42.7722,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-060,Montenegro,Istok Crne Gore,Orline,1490,4888,19.4942,42.5946,19.4942,42.5946,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-061,Montenegro,Istok Crne Gore,Vilino kolo,1459,4786,19.4199,42.6542,19.4199,42.6542,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-062,Montenegro,Istok Crne Gore,Mala trava,1451,4760,19.5041,42.6836,19.5041,42.6836,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-063,Montenegro,Istok Crne Gore,Ćafa,1422,4665,19.8139,42.8456,19.8139,42.8456,6,3,01/03/2019,31/12/2099,0,,,
4O/IC-064,Montenegro,Istok Crne Gore,4O/IC-064,1348,4422,19.3948,42.6765,19.3948,42.6765,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-065,Montenegro,Istok Crne Gore,Kurilo,1314,4311,19.8545,43.0354,19.8545,43.0354,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-066,Montenegro,Istok Crne Gore,Lokve,1308,4291,19.9229,42.9511,19.9229,42.9511,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-067,Montenegro,Istok Crne Gore,Anteševac,1283,4209,19.4416,42.6077,19.4416,42.6077,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-068,Montenegro,Istok Crne Gore,Kamena glava,1262,4140,19.4306,42.6175,19.4306,42.6175,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-069,Montenegro,Istok Crne Gore,Suka,1214,3982,19.4073,42.422,19.4073,42.4220,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-070,Montenegro,Istok Crne Gore,Tivran,1161,3809,19.8742,42.8793,19.8742,42.8793,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-071,Montenegro,Istok Crne Gore,Ostri,1151,3776,19.8569,42.8751,19.8569,42.8751,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-072,Montenegro,Istok Crne Gore,Sijevik,1150,3772,19.4087,42.4461,19.4087,42.4461,4,3,01/03/2019,31/12/2099,0,,,
4O/IC-073,Montenegro,Istok Crne Gore,Belkovački krš,1038,3405,19.7581,42.9967,19.7581,42.9967,4,0,01/03/2019,31/12/2099,0,,,
4O/IC-074,Montenegro,Istok Crne Gore,Gradina,1012,3320,19.837,42.8101,19.8370,42.8101,4,0,01/03/2019,31/12/2099,0,,,
4O/IC-075,Montenegro,Istok Crne Gore,Samolje,944,3097,19.7999,43.0672,19.7999,43.0672,2,0,01/03/2019,31/12/2099,0,,,
4O/IC-076,Montenegro,Istok Crne Gore,Lokva Puletića,810,2657,19.3923,42.7329,19.3923,42.7329,2,0,01/03/2019,31/12/2099,0,,,
4O/IC-077,Montenegro,Istok Crne Gore,Jagoda,810,2657,19.4325,42.3779,19.4325,42.3779,2,0,01/03/2019,31/12/2099,0,,,
4O/IC-078,Montenegro,Istok Crne Gore,Suka,668,2191,19.34,42.4773,19.3400,42.4773,2,0,01/03/2019,31/12/2099,0,,,
4O/IC-079,Montenegro,Istok Crne Gore,Dečić,650,2132,19.3502,42.3729,19.3502,42.3729,2,0,01/03/2019,31/12/2099,0,,,
4O/IC-080,Montenegro,Istok Crne Gore,Hum,275,902,19.3443,42.315,19.3443,42.3150,1,0,01/03/2019,31/12/2099,0,,,
4O/JC-001,Montenegro,Jug Crne Gore,Zubački kabao,1894,6213,18.5442,42.5690,18.5442,42.5690,8,3,01/03/2019,31/12/2099,0,,,
4O/JC-002,Montenegro,Jug Crne Gore,Štirovnik,1749,5738,18.8187,42.3993,18.8187,42.3993,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-003,Montenegro,Jug Crne Gore,Subra,1679,5508,18.5381,42.5243,18.5381,42.5243,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-004,Montenegro,Jug Crne Gore,Jezerski vrh,1657,5436,18.8376,42.4000,18.8376,42.4000,6,3,01/03/2019,31/12/2099,4,22/08/2019,4O/YO6PIB/P,
4O/JC-005,Montenegro,Jug Crne Gore,Babljak,1604,5262,18.8202,42.3885,18.8202,42.3885,6,3,01/03/2019,31/12/2099,2,27/06/2019,4O7DST/P,
4O/JC-006,Montenegro,Jug Crne Gore,Rumija,1595,5232,19.1888,42.1031,19.1888,42.1031,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-007,Montenegro,Jug Crne Gore,Lisac,1590,5216,18.6038,42.6215,18.6038,42.6215,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-008,Montenegro,Jug Crne Gore,Odijevo,1571,5154,18.5289,42.5074,18.5289,42.5074,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-009,Montenegro,Jug Crne Gore,Treštenski vrh,1489,4885,18.8425,42.3722,18.8425,42.3722,6,3,01/03/2019,31/12/2099,2,27/06/2019,4O7DST/P,
4O/JC-010,Montenegro,Jug Crne Gore,Pusti Lisac,1476,4842,18.7952,42.6885,18.7952,42.6885,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-011,Montenegro,Jug Crne Gore,Ubaljski Kabao,1466,4809,18.5908,42.5080,18.5908,42.5080,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-012,Montenegro,Jug Crne Gore,Siljevik,1452,4763,18.5634,42.5021,18.5634,42.5021,6,3,01/03/2019,31/12/2099,1,17/03/2019,4O/E70AA/P,
4O/JC-013,Montenegro,Jug Crne Gore,Milunova bobija,1436,4711,19.0291,42.5518,19.0291,42.5518,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-014,Montenegro,Jug Crne Gore,Hum,1415,4642,18.8784,42.3385,18.8784,42.3385,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-015,Montenegro,Jug Crne Gore,Baštik,1391,4563,18.6149,42.5216,18.6149,42.5216,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-016,Montenegro,Jug Crne Gore,Loška,1353,4438,19.1733,42.0648,19.1733,42.0648,6,3,01/03/2019,31/12/2099,0,,,
4O/JC-017,Montenegro,Jug Crne Gore,Tatinac,1349,4425,18.8137,42.4460,18.8137,42.4460,4,3,01/03/2019,31/12/2099,0,,,
4O/JC-018,Montenegro,Jug Crne Gore,Mrajanik,1336,4383,18.8003,42.4385,18.8003,42.4385,4,3,01/03/2019,31/12/2099,0,,,
4O/JC-019,Montenegro,Jug Crne Gore,Biljege,1331,4366,18.8158,42.6594,18.8158,42.6594,4,3,01/03/2019,31/12/2099,0,,,
